"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"94 years"	"94"	"2019"	"2019"	54	Not Applicable	Not Applicable
	"94 years"	"94"	"2020"	"2020"	58	Not Applicable	Not Applicable
	"94 years"	"94"	"2021"	"2021"	48	Not Applicable	Not Applicable
	"94 years"	"94"	"2022 (provisional)"	"2022"	57	Not Applicable	Not Applicable
	"95 years"	"95"	"2018"	"2018"	24	Not Applicable	Not Applicable
	"95 years"	"95"	"2019"	"2019"	21	Not Applicable	Not Applicable
	"95 years"	"95"	"2020"	"2020"	37	Not Applicable	Not Applicable
	"95 years"	"95"	"2021"	"2021"	29	Not Applicable	Not Applicable
	"95 years"	"95"	"2022 (provisional)"	"2022"	53	Not Applicable	Not Applicable
	"96 years"	"96"	"2018"	"2018"	15	Not Applicable	Not Applicable
	"96 years"	"96"	"2019"	"2019"	20	Not Applicable	Not Applicable
	"96 years"	"96"	"2020"	"2020"	27	Not Applicable	Not Applicable
	"96 years"	"96"	"2021"	"2021"	19	Not Applicable	Not Applicable
	"96 years"	"96"	"2022 (provisional)"	"2022"	26	Not Applicable	Not Applicable
	"97 years"	"97"	"2018"	"2018"	10	Not Applicable	Not Applicable
	"97 years"	"97"	"2019"	"2019"	12	Not Applicable	Not Applicable
	"97 years"	"97"	"2020"	"2020"	18	Not Applicable	Not Applicable
	"97 years"	"97"	"2021"	"2021"	17	Not Applicable	Not Applicable
	"97 years"	"97"	"2022 (provisional)"	"2022"	25	Not Applicable	Not Applicable
	"98 years"	"98"	"2018"	"2018"	10	Not Applicable	Not Applicable
	"98 years"	"98"	"2021"	"2021"	12	Not Applicable	Not Applicable
	"98 years"	"98"	"2022 (provisional)"	"2022"	12	Not Applicable	Not Applicable
	"100+ years"	"100"	"2021"	"2021"	16	Not Applicable	Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Month"
"Query Parameters:"
"UCD - Injury Intent: Suicide"
"Group By: Single-Year Ages; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Jul 21, 2023 10:39:25 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2021,"
"and from provisional data for years 2022-2023, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Jul 21, 2023 10:39:25"
"AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"5. The population figures for years 2021 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2021 postcensal series based on the April 2020 Census counts, released by the Census Bureau on June 30, 2022. The population"
"figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based"
"on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"7. Deaths occurring through June 17, 2023 as of July 02, 2023."
