CMS Certification Number (CCN),Provider Name,Phone,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,address,match,lat,lon
337181,"TWIN TIER HOME HEALTH, INC",6077638946,Yes,Yes,Yes,Yes,Yes,Yes,"853 S LAUREL STREET, LINCOLNTON, NC, 28092",True,35.467766,-81.24334
337187,NYU LANGONE HEALTH HOME CARE,5166638000,Yes,Yes,Yes,Yes,Yes,Yes,"701 SOUTH MAIN STREET, BELLEFONTAINE, OH, 43311",True,40.351604,-83.760735
337189,"ROYAL CARE CERTIFIED HOME HEALTH CARE, LLC",7184751000,Yes,Yes,Yes,Yes,Yes,Yes,"718 TEANECK ROAD, TEANECK, NJ, 7666",True,40.881557,-74.009125
337190,"PRIME HOME HEALTH SERVICES, LLC",7186461900,Yes,Yes,Yes,Yes,Yes,Yes,"266 VINEYARD AVENUE, HIGHLAND, NY, 12528",True,41.703117,-73.98065
337198,GUTHRIE CORTLAND MEDICAL CENTER LTHHCP,6077563646,Yes,Yes,Yes,Yes,Yes,Yes,"125 EDINBURGH SOUTH, CARY, NC, 27511",True,35.73843,-78.80105
337199,ST CAMILLUS HOME CARE AGENCY,3154882831,Yes,Yes,Yes,Yes,Yes,Yes,"1220 NORTH MARKET STREET, GALION, OH, 44833",True,40.75176,-82.787735
337203,EDDY VISITING NURSE & REHAB ASSOCIATION,5182746200,Yes,Yes,Yes,Yes,Yes,Yes,"LAURELTON PLAZA, BRICK, NJ, 8724",False,,
337204,CABRINI CERTIFIED HOME HEALTH AGENCY,9146936800,Yes,Yes,Yes,Yes,Yes,Yes,"530 WEST 166TH STREET, NEW YORK, NY, 10032",True,40.838886,-73.93828
337205,COMMUNITY HEALTH CENTER CHHA,5187628215,Yes,Yes,Yes,No,Yes,Yes,"1605 WESTBROOK PLAZA DRIVE, WINSTON-SALEM, NC, 27103",True,36.069645,-80.314224
337207,SCHOFIELD CERTIFIED HOME CARE,7168742600,Yes,Yes,Yes,Yes,Yes,Yes,"121 WEST HIGH STREET, LIMA, OH, 45801",True,40.741364,-84.105225
337210,CALVARY HOSPITAL CHHA,7184309540,Yes,Yes,Yes,Yes,Yes,Yes,"756 PRE EMPTION ROAD, GENEVA, NY, 14456",False,,
337211,BETHEL N H COMPANY CERTIFIED HOME HEALTH AGENCY,9149411300,Yes,Yes,Yes,Yes,Yes,No,"250 HOSPICE CIRCLE, RALEIGH, NC, 27607",True,35.806786,-78.741844
337212,VNS ITHACA  TOMPKINS CO CHHA,6072730466,Yes,Yes,Yes,Yes,Yes,Yes,"54 EXECUTIVE DRIVE, NORWALK, OH, 44857",True,41.229156,-82.594505
337213,PARKER JEWISH INST FOR HEALTH CARE & REHAB CHHA,5165861500,Yes,Yes,No,Yes,Yes,Yes,"315 S  TALBERT BLVD, LEXINGTON, NC, 27292",True,35.815346,-80.25227
337218,FISHKILL CENTER FOR REHAB & NURSING LTHHCP,8458318704,Yes,Yes,Yes,No,Yes,No,"3976 FULTON DRIVE NW, CANTON, OH, 44718",True,40.835896,-81.42242
337225,BROOKS-TLC HOSPITAL SYSTEM HOME HEALTH CARE-CLOSED,7169517167,Yes,Yes,Yes,Yes,Yes,Yes,"3976 FULTON DRIVE NW, CANTON, OH, 44718",False,,
337227,MID-HUDSON VALLEY DIV OF WESTCHESTER MED CTR CHHA,8454835550,Yes,Yes,Yes,Yes,Yes,Yes,"333 LAUREL OAK ROAD, VOORHEES, NJ, 8043",True,39.845974,-74.9863
337230,"HEALTH QUEST HOME CARE, INC (CERTIFIED)  CHHA",8454714243,Yes,Yes,Yes,No,Yes,Yes,"6550 DELILAH ROAD, EGG HARBOR TOWNSHIP, NJ, 8234",True,39.427067,-74.56512
337232,KINDRED AT HOME  (HAUPPAUGE),6312326030,Yes,Yes,Yes,Yes,Yes,Yes,"346 DELAWARE AVENUE, BUFFALO, NY, 14202",True,42.89374,-78.87579
337233,AT HOME CARE INC CHHA,6074327924,Yes,Yes,Yes,Yes,Yes,Yes,"523 FELLOWSHIP ROAD, MOUNT LAUREL, NJ, 8054",True,39.938263,-74.955894
337234,ROSA COPLON JEWISH HOME & INFIRMARY CHHA,7166393311,Yes,Yes,Yes,Yes,Yes,Yes,"89 GENESEE STREET, ROCHESTER, NY, 14611",True,43.148518,-77.63607
337237,FAMILY CARE CERTIFIED SERVICES (HEMPSTEAD),5169327799,Yes,Yes,Yes,Yes,Yes,Yes,"141 FIDDLERS RUN BLVD, MORGANTON, NC, 28655",True,35.71604,-81.671135
337241,ST JOSEPHS HOSP HEALTH CENTER CHHA,3154582800,Yes,Yes,Yes,Yes,Yes,Yes,"1433 HOOPER AVENUE, TOMS RIVER, NJ, 8753",True,39.99412,-74.1729
337243,GIRLING HEALTH CARE OF NEW YORK,7187487447,Yes,Yes,Yes,Yes,Yes,Yes,"1219 NORTH FOREST RD, WILLIAMSVILLE, NY, 14221",True,42.988327,-78.761246
337246,SOUTH NASSAU COMM HOSP CHHA,5163775000,Yes,Yes,Yes,Yes,Yes,Yes,"2920 HIGHWOODS BLVD SUITE 200, RALEIGH, NC, 27604",True,35.819267,-78.60193
337248,AMEDISYS HOME HEALTH CARE  (AMHERST),7166326420,Yes,Yes,Yes,Yes,Yes,Yes,"3976 FULTON DRIVE, CANTON, OH, 44718",False,,
337249,ALWAYS THERE FAMILY HOME HEALTH SERVICES,8453396683,Yes,Yes,Yes,Yes,Yes,Yes,"6550 DELILAH ROAD, EGG HARBOR TOWNSHIP, NJ, 8234",True,39.427067,-74.56512
337251,MCAULEY SETON HOME CARE CORP CHHA,7166854870,Yes,Yes,Yes,Yes,Yes,Yes,"1 WARTBURG PLACE, MOUNT VERNON, NY, 10552",True,40.918503,-73.81313
337254,"SAMARITAN HOME HEALTH, INC",3157820415,Yes,Yes,Yes,Yes,Yes,Yes,"3301 BENSON DRIVE, RALEIGH, NC, 27609",True,35.82842,-78.6222
337255,KINDRED AT HOME  (LIVERPOOL),3154610209,Yes,Yes,Yes,Yes,Yes,Yes,"190 B EAST SPRING VALLEY PIKE, CENTERVILLE, OH, 45458",False,,
337256,HEALTH SERVICES OF NORTHERN NEW YORK INC CHHA,3152654065,Yes,Yes,Yes,Yes,Yes,Yes,"1415 MARLTON PIKE EAST, CHERRY HILL, NJ, 8034",True,39.910446,-74.99201
337257,HCR / HCR HOME CARE  CHHA  (ROCHESTER),5852721930,Yes,Yes,Yes,Yes,Yes,Yes,"1414  UTICA  AVENUE, BROOKLYN, NY, 11203",True,40.638115,-73.92893
337260,"TENDER LOVING CARE, AN AMEDISYS COMPANY",6314472020,Yes,Yes,Yes,Yes,Yes,Yes,"8520 CLIFF CAMERON DRIVE STE 140, CHARLOTTE, NC, 28269",True,35.320526,-80.78064
337261,PERSONAL TOUCH HOME AIDES OF NEW YORK INC,7183756111,Yes,Yes,Yes,Yes,Yes,Yes,"2806 BELL STREET, ZANESVILLE, OH, 43701",True,39.97257,-82.01293
337262,HILLSIDE CERTIFIED HOME CARE AGENCY,7182913500,Yes,Yes,Yes,Yes,Yes,Yes,"2 JEFFERSON AVENUE, JERSEY CITY, NJ, 7306",True,40.73615,-74.04954
337264,FAMILY CARE CERTIFIED SERVICES CHHA  (BROOKLYN),7187457508,Yes,Yes,Yes,Yes,Yes,Yes,"3155 GRACE AVENUE, BRONX, NY, 10469",True,40.87441,-73.83712
337265,WARTBURG HOME CARE,9145135860,Yes,Yes,Yes,Yes,Yes,Yes,"1025 THINK PLACE, MORRISVILLE, NC, 27560",True,35.857677,-78.838165
337266,PEOPLE HOME HEALTH SVS CHHA,7168745600,Yes,Yes,Yes,Yes,Yes,No,"900 SHARON VALLEY ROAD, NEWARK, OH, 43055",True,40.070213,-82.433304
337267,ROCHESTER REGIONAL HEALTH SYSTEM HOME CARE CLOSED,5853686342,Yes,Yes,Yes,Yes,Yes,Yes,"56 GEORGETOWN ROAD, BORDENTOWN, NJ, 8505",True,40.130272,-74.695755
337268,WILLCARE CHHA  (BUFFALO),7168567500,Yes,Yes,Yes,Yes,Yes,Yes,"3632 NOSTRAND AVENUE, BROOKLYN, NY, 11229",True,40.595356,-73.94092
337273,FINGER LAKES VNS CHHA CLOSED,3157899821,Yes,Yes,Yes,Yes,Yes,Yes,"189 COUNTY PARK ROAD, YANCEYVILLE, NC, 27379",True,36.407295,-79.33391
337276,RIVERSPRING CHHA / ELDERSERVE CHHA,9143685550,Yes,Yes,Yes,Yes,Yes,Yes,"4700 EAST GALBRAITH ROAD, CINCINNATI, OH, 45236",False,,
337277,HUDSON VALLEY CERTIFIED HOME HEALTH AGENCY,8456919225,Yes,Yes,Yes,Yes,Yes,Yes,"301 E MIEL DE LUNA, TUCUMCARI, NM, 88401",True,35.1563,-103.72355
337281,ABLE HEALTH CARE SERVICES INC CHHA,5169337000,Yes,Yes,Yes,Yes,No,Yes,"360 WEST 31 STREET, NEW YORK, NY, 10001",True,40.75097,-73.99654
337284,"OSWEGO HEALTH HOME CARE, LLC",3155981544,Yes,Yes,Yes,Yes,Yes,Yes,"170 MEDICAL PARK ROAD, MOORESVILLE, NC, 28117",False,,
337289,KINDRED AT HOME  (WESTBURY),5167468013,Yes,Yes,Yes,Yes,Yes,Yes,"68150 BAYBERRY DRIVE, SAINT CLAIRSVILLE, OH, 43950",False,,
337290,"AMERICARE CERTIFIED SPECIAL SERVICES, INC CHHA",7185353100,Yes,Yes,Yes,Yes,Yes,Yes,"1202 HIGHWAY 60 BLDG E, SOCORRO, NM, 87801",True,34.042377,-106.90952
337292,KINDRED AT HOME  (CORNING),6079620102,Yes,Yes,Yes,Yes,Yes,Yes,"68 HAUPPAUGE ROAD, COMMACK, NY, 11725",True,40.828068,-73.300674
337299,REVIVAL HOME HEALTH CARE,7186291000,Yes,Yes,Yes,Yes,Yes,Yes,"1100-B SOUTH STRATFORD ROAD, WINSTON-SALEM, NC, 27106",True,36.080566,-80.2984
337400,PECONIC BAY HOMEHEALTH SERVICES,6315486432,Yes,Yes,Yes,Yes,Yes,Yes,"185 WEST CEDAR STREET, AKRON, OH, 44307",True,41.077854,-81.52873
337401,KINDRED AT HOME  (BALLSTON LAKE),5188991158,Yes,Yes,Yes,Yes,Yes,Yes,"ROUTE 301 NORTH BLDG #52, ZUNI, NM, 87327",False,,
337407,SELFHELP FAMILY HOME CARE,2129715471,Yes,Yes,Yes,Yes,Yes,No,"700 CORPORATE BOULEVARD, NEWBURGH, NY, 12550",True,41.510433,-74.086494
337408,WILLCARE CHHA  (NEWBURGH),8455613655,Yes,Yes,Yes,Yes,Yes,Yes,"1500 PINECROFT ROAD, GREENSBORO, NC, 27407",True,36.049683,-79.84383
337413,GURWIN CERTIFIED HOME HEALTH AGENCY,6317152600,Yes,Yes,Yes,Yes,Yes,Yes,"875 WEST MAIN STREET, BARNESVILLE, OH, 43713",True,39.99366,-81.19121
337414,EXTENDED HOME CARE,2125639639,Yes,Yes,Yes,Yes,Yes,Yes,"1859 INDIAN WELLS ROAD, ALAMOGORDO, NM, 88310",True,32.915207,-105.9411
337415,LOURDES AT HOME CHHA,6077721598,Yes,Yes,Yes,Yes,Yes,Yes,"520 EIGHTH AVENUE, NEW YORK, NY, 10018",True,40.75358,-73.99245
337416,BRIAH HOME CARE,7182983900,Yes,Yes,Yes,Yes,Yes,Yes,"101 EAST FRANKLIN STREET, MONROE, NC, 28112",True,34.982635,-80.54942
337418,LIVING RESOURCES CHHA,5188678800,Yes,Yes,Yes,Yes,Yes,Yes,"25 INDIANA AVENUE, MONROE, OH, 45050",True,39.44967,-84.367775
347001,LIBERTY HOME CARE,9108153122,Yes,Yes,Yes,Yes,Yes,Yes,"320 USHERS ROAD, BALLSTON LAKE, NY, 12019",True,42.903534,-73.79544
347002,WELL CARE HOME HEALTH,9103629405,Yes,Yes,Yes,Yes,Yes,Yes,"729 VINEYARDS CROSSING, LEXINGTON, NC, 27295",False,,
347004,"LIBERTY HOME CARE VI, LLC",2523080700,Yes,Yes,Yes,Yes,Yes,Yes,"1313 WEST BOGART ROAD, SANDUSKY, OH, 44870",True,41.396496,-82.70314
347005,ADVANCED HOME CARE,3367602131,Yes,Yes,Yes,Yes,Yes,Yes,"2000 FRONTIS PLAZA BLVD, WINSTON SALEM, NC, 27103",True,36.06208,-80.304985
347007,HOME HEALTH OF RANDOLPH HOSPITAL,3366298896,Yes,Yes,Yes,Yes,Yes,Yes,"301 WEST THIRD STREET, DOVER, OH, 44622",True,40.520115,-81.4796
347008,ROANOKE HOME CARE HOSPICE,8008428275,Yes,Yes,Yes,No,Yes,Yes,"4510 RICHMOND ROAD, WARRENSVILLE HTS, OH, 44128",False,,
347009,INTREPID USA HEALTHCARE SERVICES,9198219299,Yes,Yes,Yes,Yes,Yes,Yes,"630 PASEO DEL PUEBLO SUR, TAOS, NM, 87571",True,36.39505,-105.57969
347011,BROOKDALE HOME HEALTH RALEIGH,9195448413,Yes,Yes,Yes,Yes,Yes,No,"2202 CANYON ROAD, LOS ALAMOS, NM, 87544",True,35.886734,-106.30071
347013,ATRIUM HEALTH AT HOME CLEVELAND,7044875225,Yes,Yes,Yes,Yes,Yes,Yes,"1300 ROANOKE AVENUE, RIVERHEAD, NY, 11901",False,,
347014,MOUNTAIN HOME HEALTH,8283898106,Yes,Yes,Yes,No,Yes,Yes,"8100 CONSTITUTION PLACE NE, ALBUQUERQUE, NM, 87110",True,35.09282,-106.55498
347015,PRUITTHEALTH HOME HEALTH - PILOT MOUNTAIN,3363680220,Yes,Yes,Yes,Yes,Yes,Yes,"5350 KINGS HIGHWAY, BROOKLYN, NY, 11203",False,,
347017,ALBEMARLE HOME CARE AND HOSPICE,2523384066,Yes,Yes,Yes,Yes,Yes,Yes,"300 EAST CHURCH STREET, ELIZABETH CITY, NC, 27909",True,36.298695,-76.222305
347019,HOME HEALTH OF WILSON,2522374335,Yes,Yes,Yes,Yes,Yes,Yes,"600 G STREET, MILLVILLE, NJ, 8332",True,39.406742,-75.03148
347020,MEDI HOME HEALTH AND HOSPICE,8282653388,Yes,Yes,Yes,Yes,Yes,Yes,"11849 EAST CORNING ROAD, CORNING, NY, 14830",True,42.122902,-76.99449
347021,BAYADA NURSES INC,7047204400,Yes,Yes,Yes,Yes,Yes,Yes,"132 BAKER ROAD, ARCHDALE, NC, 27263",True,35.916924,-79.97379
347024,LIBERTY HOME CARE,9108153122,Yes,Yes,Yes,Yes,Yes,Yes,"9485 MENTOR AVENUE, MENTOR, OH, 44060",False,,
347026,PRUITTHEALTH HOME HEALTH  NEW BERN,2525146016,Yes,Yes,Yes,Yes,Yes,Yes,"1340 CAMPUS PARKWAY, NEPTUNE, NJ, 7753",True,40.212326,-74.12082
347028,PARDEE HOME CARE,8286921846,Yes,Yes,Yes,Yes,Yes,Yes,"5923 STRICKLAND AVENUE, BROOKLYN, NY, 11234",True,40.609093,-73.91402
347029,HARRIS HOME HEALTH,8285867410,Yes,Yes,Yes,Yes,Yes,Yes,"9009-C PERIMETER WOODS DRIVE, CHARLOTTE, NC, 28216",True,35.343235,-80.85049
347030,AMEDISYS HOME HEALTH OF CHAPEL,9194013000,Yes,Yes,Yes,Yes,Yes,Yes,"959 WEST NORTH STREET, LIMA, OH, 45805",True,40.74242,-84.122025
347031,KINDRED AT HOME,2523533300,Yes,Yes,Yes,Yes,Yes,Yes,"365 WEST PASSAIC STREET, ROCHELLE PARK, NJ, 7662",True,40.917957,-74.08464
347033,MOUNTAIN HOME HEALTH SERVICES,8283898106,Yes,Yes,Yes,No,Yes,Yes,"865 MERRICK AVENUE, WESTBURY, NY, 11590",True,40.74521,-73.58684
347035,HOME CARE SERVICES OF HAYWOOD REGIONAL MEDICAL CT,8284528292,Yes,Yes,Yes,Yes,Yes,Yes,"54 BROWNSBERGER CIRCLE, FLETCHER, NC, 28732",True,35.397526,-82.48761
347036,HEALTHKEEPERZ,9108604764,Yes,Yes,Yes,Yes,Yes,Yes,"663 EAST MAIN STREET, ASHLAND, OH, 44805",True,40.866463,-82.30095
347037,CAREPARTNERS HOME CARE & HOSPICE,8288835254,Yes,Yes,Yes,Yes,Yes,Yes,"310 SALEM-WOODSTOWN ROAD, SALEM, NJ, 8079",True,39.594887,-75.442986
347039,MADISON HOME CARE,8286499566,Yes,Yes,Yes,Yes,Yes,Yes,"113 SCHUYLER STREET, FULTON, NY, 13069",True,43.32299,-76.422844
347041,FIRST HEALTH HOME CARE - RICHMOND,9109975800,Yes,Yes,Yes,No,Yes,Yes,"8025 CREEDMOOR RD SUITE 200, RALEIGH, NC, 27613",True,35.894787,-78.68047
347042,CARTERET HEALTH CARE HOME HEALTH AND HOSPICE,2528082944,Yes,Yes,Yes,Yes,Yes,Yes,"1122 EAST SPRING STREET, ST MARYS, OH, 45885",True,40.546215,-84.37255
347043,"WAKE FOREST BAPTIST HEALTH  CARE AT HOME, LLC",3368183170,Yes,Yes,Yes,Yes,Yes,Yes,"3721 RUTLEDGE ROAD NE, ALBUQUERQUE, NM, 87109",True,35.16445,-106.602554
347044,ENCOMPASS HEALTH HOME HEALTH,8286596901,Yes,Yes,Yes,Yes,Yes,Yes,"1005 SLATER ROAD 330, DURHAM, NC, 27703",True,35.878178,-78.84119
347049,LIBERTY HOME CARE  VII LLC,2523326747,Yes,Yes,Yes,Yes,No,Yes,"3886 HENDERSON DRIVE, JACKSONVILLE, NC, 28546",True,34.795628,-77.412704
347051,WELL CARE HOME HEALTH INC,3367518770,Yes,Yes,Yes,Yes,Yes,Yes,"4891 BELMONT AVENUE, YOUNGSTOWN, OH, 44505",True,41.169697,-80.664734
347053,KINDRED AT HOME,8282703990,Yes,Yes,Yes,Yes,Yes,Yes,"2810 HOT SPRINGS BLVD, LAS VEGAS, NM, 87701",False,,
347054,GENTIVA HEALTH SERVICES,7047368647,Yes,Yes,Yes,Yes,Yes,Yes,"343 E SIX FORKS ROAD SUITE 130, RALEIGH, NC, 27609",True,35.820805,-78.62706
347055,CAREPARTNERS HOME CARE & HOSPICE,8283694206,Yes,Yes,Yes,Yes,Yes,Yes,"720 PARKE CENTRE  SUITE B, KERNERSVILLE, NC, 27284",True,36.09866,-80.06699
347056,"HEALTHVIEW HOME HEALTH & HOSPICE, LLC",2524622687,Yes,Yes,Yes,Yes,Yes,Yes,"12333 RIDGE ROAD, NORTH ROYALTON, OH, 44133",True,41.323208,-81.73613
347059,IREDELL HOME HEALTH,7048726552,Yes,Yes,Yes,Yes,Yes,Yes,"10 CALLE MEDICO, SANTA FE, NM, 87505",True,35.657803,-105.941086
347061,HEALTHKEEPERZ,9102772484,Yes,Yes,Yes,Yes,Yes,Yes,"198 NC HWY. 45 NORTH, PLYMOUTH, NC, 27962",True,35.874985,-76.69452
347062,3HC,2524925831,Yes,Yes,Yes,Yes,Yes,Yes,"206 S TURNER STREET, PINK HILL, NC, 28572",True,35.053844,-77.74732
347063,VIDANT HOME HEALTH AND HOSPICE,9102960887,Yes,Yes,No,No,Yes,Yes,"1120 POLARIS PARKWAY, COLUMBUS, OH, 43240",False,,
347064,SAMPSON HOME HEALTH,9105905312,Yes,Yes,Yes,Yes,Yes,Yes,"200 NORTH ORCHARD AVENUE, FARMINGTON, NM, 87401",True,36.730396,-108.2053
347065,NHRMC HOME CARE,9102591224,Yes,Yes,Yes,Yes,Yes,Yes,"341 N. FAYETTEVILLE ST., ASHEBORO, NC, 27203",False,,
347068,FRANKLIN COUNTY HOME HEALTH AG,9194962143,Yes,Yes,Yes,No,No,No,"579 GREENWAY ROAD SUITE 103, BOONE, NC, 28607",False,,
347069,MEDI HOME HEALTH & HOSPICE,3365972542,Yes,Yes,Yes,Yes,Yes,Yes,"2003 WEST 4TH STREET, ONTARIO, OH, 44906",True,40.771664,-82.58577
347070,ONSLOW COUNTY HOME HLTH & HOSP,9105776660,Yes,Yes,Yes,Yes,Yes,Yes,"726 EAST MICHIGAN, HOBBS, NM, 88240",True,32.72243,-103.12904
347071,STANLY COUNTY HOME HEALTH AGEN,7049821141,Yes,Yes,Yes,Yes,Yes,Yes,"1100 S STRATFORD ROAD  SUITE 410, WINSTON-SALEM, NC, 27103",True,36.080566,-80.2984
347074,DARE HOME HEALTH  AND DARE HOSPICE,2524755028,Yes,Yes,Yes,Yes,Yes,Yes,"1003 OLD WATERFORD WAY, LELAND, NC, 28451",True,34.218597,-78.02052
347075,GENTIVA HEALTH SERVICES,3362881181,Yes,Yes,Yes,Yes,Yes,Yes,"1865 TAMARACK ROAD, NEWARK, OH, 43055",True,40.0387,-82.464
347079,ADVANCED HOME CARE INC,8284268401,Yes,Yes,Yes,Yes,Yes,Yes,"220 SMITH CHURCH ROAD, ROANOKE RAPIDS, NC, 27870",True,36.43003,-77.65782
347080,YADKIN VALLEY HOME HEALT,3365266460,Yes,Yes,Yes,Yes,Yes,Yes,"1101 WEAVER DAIRY ROAD SUITE 200, CHAPEL HILL, NC, 27514",True,35.963875,-79.05221
347081,NORTHAMPTON CO. HHA,2525341291,Yes,Yes,Yes,Yes,No,Yes,"9009 SPRINGBORO PIKE, MIAMISBURG, OH, 45342",True,39.619904,-84.22685
347083,CAREPARTNERS HOME HEALTH SERVICES,8282522255,Yes,Yes,Yes,Yes,Yes,Yes,"566 RUIN CREEK RD, HENDERSON, NC, 27536",False,,
347084,KINDRED AT HOME,9106554946,Yes,Yes,Yes,Yes,No,Yes,"255 EAST MAIN STREET, COLUMBUS, OH, 43215",True,39.957016,-82.991844
347085,GUARDIAN HOME HEALTH ,8283243025,Yes,Yes,Yes,Yes,Yes,Yes,"24 STAR DRIVE, CHILLICOTHE, OH, 45601",True,39.344524,-83.03891
347086,ROBESON COUNTY HOME HEALTH AGE,9106713236,Yes,Yes,Yes,Yes,Yes,Yes,"418 NORTH TURNER STREET, HOBBS, NM, 88240",False,,
347087,"BAYADA HOME HEALTH CARE, INC",7044239449,Yes,Yes,Yes,Yes,Yes,Yes,"2183 HIGHWAY 518, BUENA VISTA, NM, 87712",False,,
347089,KINDRED AT HOME,9108937544,Yes,Yes,Yes,Yes,No,Yes,"2715  ASHTON DRIVE, WILMINGTON, NC, 28412",False,,
347091,KINDRED AT HOME,7045431167,Yes,Yes,Yes,Yes,Yes,Yes,"800 W PIERCE ST, CARLSBAD, NM, 88220",True,32.43574,-104.23562
347094,AMEDISYS HOME HEALTH CARE,3364724449,Yes,Yes,Yes,Yes,Yes,Yes,"2550 SOUTH 41ST STREET, WILMINGTON, NC, 28403",True,34.202667,-77.896774
347096,LIBERTY HOME CARE VII LLC,2529263715,Yes,Yes,No,No,Yes,Yes,"1005 W H SMITH BLVD PO BOX 8125, GREENVILLE, NC, 27835",False,,
347097,ADVANCED HOME CARE,9108626901,Yes,Yes,Yes,Yes,Yes,Yes,"4401 MASTHEAD STREET NE SUITE 105, ALBUQUERQUE, NM, 87109",True,35.166462,-106.5958
347098,BROOKDALE HOME HEALTH CHARLOTTE,7049212051,Yes,Yes,Yes,Yes,Yes,Yes,"300 WASHINGTON AVENUE EXTENSION, ALBANY, NY, 12203",False,,
347099,AMEDISYS HOME HEALTH CARE,7048671141,Yes,Yes,Yes,Yes,Yes,Yes,"1027 US 70 HIGHWAY WEST, GARNER, NC, 27529",False,,
347100,PRUITTHEALTH AT HOME - AVERY,8287331550,Yes,Yes,Yes,Yes,Yes,Yes,"6479 REFLECTIONS DRIVE, DUBLIN, OH, 43017",True,40.08807,-83.08804
347101,CHEROKEE HOME HEALTH AGENCY,8285546872,Yes,Yes,No,Yes,No,Yes,"1290 E 32ND ST, SILVER CITY, NM, 88061",True,32.795567,-108.26295
347102,MEDI HOME HEALTH AGENCY,8286329704,Yes,Yes,Yes,Yes,Yes,Yes,"3525 BAYCHESTER AVENUE, BRONX, NY, 10466",True,40.881653,-73.83897
347104,3HC,9197351387,Yes,Yes,Yes,Yes,Yes,Yes,"304 W GRANVILLE STREET, WINDSOR, NC, 27983",True,35.99701,-76.94941
347105,JOHNSTON HEALTH HOME CARE AND HOSPICE,9199387560,Yes,Yes,Yes,Yes,Yes,Yes,"1111 NORTH PLUM STREET, SPRINGFIELD, OH, 45504",True,39.938446,-83.81655
347106,WAKE FOREST BAPTIST HEALTH CARE AT HOME LLC,3367683972,Yes,Yes,Yes,Yes,Yes,Yes,"6800 CAMINO BLANCO, LAS CRUCES, NM, 88005",False,,
347110,AMEDISYS HOME HEALTH,9192204016,Yes,Yes,Yes,Yes,Yes,Yes,"4102 OLD VESTAL ROAD, VESTAL, NY, 13850",True,42.09714,-75.97526
347112,ATRIUM HEALTH AT HOME CHARLOTTE,7045122300,Yes,Yes,Yes,Yes,Yes,Yes,"74 WHEATON AVENUE, YOUNGSVILLE, NC, 27596",True,36.036037,-78.48572
347113,ATRIUM HEALT AT HOME STANLY,7049822273,Yes,Yes,Yes,Yes,Yes,Yes,"5420 STATE ROUTE 571, GREENVILLE, OH, 45331",False,,
347114,ADVANCED HOME CARE,7048315000,Yes,Yes,Yes,Yes,Yes,Yes,"1010 SPRUCE STREET, ESPANOLA, NM, 87532",True,35.99712,-106.085915
347116,ADVANCED HOME CARE,7046391060,Yes,Yes,Yes,Yes,Yes,Yes,"26 WESTCARE DRIVE, SYLVA, NC, 28779",False,,
347118,SOUTHEASTERN HOME HEALTH,9106715600,Yes,Yes,Yes,Yes,Yes,Yes,"103 DORSETT DRIVE  SUITE 300, SALISBURY, NC, 28144",True,35.690067,-80.49674
347119,WARREN COUNTY HOME HEALTH AGEN,2522574081,Yes,Yes,Yes,No,Yes,Yes,"1300 NORTH CANAL ST, CARLSBAD, NM, 88220",True,32.439613,-104.22876
347120,BROOKDALE HOME HEALTH  WINSTON,3366684558,Yes,Yes,Yes,Yes,Yes,Yes,"2029  ASHEVILLE HIGHWAY, HENDERSONVILLE, NC, 28739",True,35.33765,-82.4737
347121,ADVANCED HOME CARE,3366161955,Yes,Yes,Yes,Yes,Yes,Yes,"720 PARK CENTRE DRIVE, KERNERSVILLE, NC, 27284",True,36.09866,-80.06699
347122,ADVANCED HOME CARE,3365381194,Yes,Yes,Yes,Yes,Yes,Yes,"2975 TERRACE DR 118, LAS CRUCES, NM, 88011",True,32.293594,-106.73377
347124,KINDRED AT HOME,2525221458,Yes,Yes,Yes,Yes,Yes,Yes,"810 KENNEDY AVENUE, NEW BERN, NC, 28562",True,35.111652,-77.064804
347125,ADVANCED HOME CARE,3368788824,Yes,Yes,Yes,Yes,Yes,Yes,"1405 N LAFAYETTE STREET, SHELBY, NC, 28150",True,35.32029,-81.53815
347126,ADVANCED HOME CARE,7047842111,Yes,Yes,Yes,Yes,Yes,Yes,"425 S TELSHOR BLVD SUITE C201, LAS CRUCES, NM, 88011",True,32.316936,-106.7477
347127,CAPE FEAR VALLEY HOME HEALTH,9106096740,Yes,Yes,Yes,Yes,Yes,Yes,"300 W PENNSYVANIA AVENUE, SOUTHERN PINES, NC, 28387",False,,
347128,HOSPICE AND PALLIATIVE CARE OF GREENSBORO,3366212500,Yes,Yes,Yes,Yes,Yes,Yes,"1007 LEXINGTON AVENUE, THOMASVILLE, NC, 27360",True,35.882156,-80.10458
347129,"BAYADA HOME HEALTH CARE, INC",3365973050,Yes,Yes,Yes,Yes,Yes,Yes,"408 NORTH AUBURN, FARMINGTON, NM, 87401",True,36.733,-108.21063
347130,CAROLINA EAST HOME CARE,2526338182,Yes,Yes,Yes,Yes,Yes,Yes,"280 CONCORD S PARKWAY STE 110B, CONCORD, NC, 28027",False,,
347131,ADVANCED HOME CARE,7048641030,Yes,Yes,Yes,No,Yes,Yes,"401 E THIRD STREET, SILER CITY, NC, 27344",False,,
347132,AMEDISYS HOME HEALTH OF FAYETTEVILLE,9104836144,Yes,Yes,No,Yes,Yes,Yes,"1944 WEST 21ST STREET, CLOVIS, NM, 88101",True,34.419277,-103.22855
